0.23382272974442633 | Effective Prior: 0.1 | Optimal Threshold: -0.03335644585361608 | PCA 1
0.04676454594888527 | Effective Prior: 0.5 | Optimal Threshold: -0.03335644585361608 | PCA 1
0.2338227297444264 | Effective Prior: 0.9 | Optimal Threshold: -0.03335644585361608 | PCA 1
0.35345296356715605 | Effective Prior: 0.1 | Optimal Threshold: 0.08834570472576853 | PCA 2
0.07069059271343121 | Effective Prior: 0.5 | Optimal Threshold: 0.08834570472576853 | PCA 2
0.35345296356715616 | Effective Prior: 0.9 | Optimal Threshold: 0.08834570472576853 | PCA 2
0.0 | Effective Prior: 0.1 | Optimal Threshold: 4.59511985013459 | PCA 3
0.0 | Effective Prior: 0.5 | Optimal Threshold: 4.59511985013459 | PCA 3
0.0 | Effective Prior: 0.9 | Optimal Threshold: 4.59511985013459 | PCA 3
0.0 | Effective Prior: 0.1 | Optimal Threshold: 4.59511985013459 | PCA 4
0.0 | Effective Prior: 0.5 | Optimal Threshold: 4.59511985013459 | PCA 4
0.0 | Effective Prior: 0.9 | Optimal Threshold: 4.59511985013459 | PCA 4
0.0 | Effective Prior: 0.1 | Optimal Threshold: 4.59511985013459 | PCA 5
0.0 | Effective Prior: 0.5 | Optimal Threshold: 4.59511985013459 | PCA 5
0.0 | Effective Prior: 0.9 | Optimal Threshold: 4.59511985013459 | PCA 5
0.0 | Effective Prior: 0.1 | Optimal Threshold: 4.59511985013459 | PCA 6
0.0 | Effective Prior: 0.5 | Optimal Threshold: 4.59511985013459 | PCA 6
0.0 | Effective Prior: 0.9 | Optimal Threshold: 4.59511985013459 | PCA 6
0.0 | Effective Prior: 0.1 | Optimal Threshold: 4.59511985013459 | PCA 7
0.0 | Effective Prior: 0.5 | Optimal Threshold: 4.59511985013459 | PCA 7
0.0 | Effective Prior: 0.9 | Optimal Threshold: 4.59511985013459 | PCA 7
0.0 | Effective Prior: 0.1 | Optimal Threshold: 4.59511985013459 | PCA 8
0.0 | Effective Prior: 0.5 | Optimal Threshold: 4.59511985013459 | PCA 8
0.0 | Effective Prior: 0.9 | Optimal Threshold: 4.59511985013459 | PCA 8
0.0 | Effective Prior: 0.1 | Optimal Threshold: 4.59511985013459 | PCA 9
0.0 | Effective Prior: 0.5 | Optimal Threshold: 4.59511985013459 | PCA 9
0.0 | Effective Prior: 0.9 | Optimal Threshold: 4.59511985013459 | PCA 9
0.0 | Effective Prior: 0.1 | Optimal Threshold: 4.59511985013459 | PCA 10
0.0 | Effective Prior: 0.5 | Optimal Threshold: 4.59511985013459 | PCA 10
0.0 | Effective Prior: 0.9 | Optimal Threshold: 4.59511985013459 | PCA 10
0.0 | Effective Prior: 0.1 | Optimal Threshold: 4.59511985013459 | PCA 11
0.0 | Effective Prior: 0.5 | Optimal Threshold: 4.59511985013459 | PCA 11
0.0 | Effective Prior: 0.9 | Optimal Threshold: 4.59511985013459 | PCA 11
